ID,Name,Pos,Price,Team,Pts,30,31,32,33,34,35,36,37,38
181873,Cash,DEF,5.2,AVL,,3.255320067,3.440186872,3.047116954,0,2.891907168,4.509035243,5.437349193,7.362078833,1.673280977
91483,Digne,DEF,5.3,AVL,,3.255320067,3.339414889,3.087751735,0,3.009371849,4.635073066,5.678629512,7.629929517,1.767357579
23490,Ben T Davies,DEF,4.7,TOT,,3.217359561,3.489232665,2.575126659,3.329527427,2.942791838,3.100394451,1.490424674,5.724617196,3.309472101
23337,Xhaka,MID,4.9,ARS,,3.194467969,3.249299508,3.487651631,5.71037914,3.397251782,3.201067066,3.612567421,5.838111589,3.597034059
32973,Rice,MID,5.1,WHU,,3.138749911,3.615859616,3.35424564,3.671362617,3.085917729,3.426219043,3.497231228,3.191183845,3.280712333
233400,Lokonga,MID,5,ARS,,3.177841704,3.229815263,3.455361387,5.394489542,3.368978396,3.183790227,3.571010452,5.510346135,3.557512173
23099,Albrighton,MID,5.5,LEI,,3.257188552,2.721172829,3.366736348,5.079208726,3.28940562,2.982682725,5.572032577,4.929987915,3.336734407
88564,R Pereira,DEF,5.2,LEI,,3.376968844,2.033012582,3.12809184,3.972564002,2.808773292,1.913474147,4.801418796,3.408234787,2.886062199
88496,Coady,DEF,5,WOL,,3.221227355,3.080368569,2.895371759,0,3.081443339,3.338166891,3.691921537,3.883569846,1.251367923
192210,Jensen,MID,5,BRE,,3.200026528,2.917998433,3.428016826,3.343438819,3.308830422,3.092665231,3.476344207,3.263128904,3.607129539
192211,Janelt,MID,5,BRE,,3.187918036,2.896104953,3.399822334,3.2969741,3.280644032,3.052484064,3.446592049,3.226250671,3.56384056
33589,Ndidi,MID,5,LEI,,3.23172011,2.570740511,3.370189655,5.613471794,3.289096335,2.966025366,6.17477558,5.443599124,3.333846647
139989,Tierney,DEF,5.6,ARS,,3.060130708,3.37193325,3.91664706,5.268657288,3.22037731,3.007270968,3.851204582,5.55924141,4.091539089
225290,Young,DEF,5,AVL,,3.108998703,3.256357391,2.933036043,0,2.86926481,4.238685912,4.892431561,6.469000864,1.842004953
181081,Gabriel,DEF,5.4,ARS,,3.016851942,3.333821966,3.907968096,5.228948565,3.208556903,2.967081703,3.863409582,5.535183268,4.097104618
