ID,Name,Pos,Price,Team,Pts,37,38
23265,Kabasele,DEF,4,WAT,,2.224909726,1.126822062
276427,H Kamara,DEF,4,WAT,,2.405361984,1.108941111
226790,Perraud,DEF,4.9,SOU,,1.433836966,2.296810959
150363,B Williams,DEF,4.2,NOR,,0.528909505,0.399526581
45003,Bednarek,DEF,4.2,SOU,,1.314362603,2.134412698
192743,Hanley,DEF,4.4,NOR,,2.099545629,1.34518859
45060,Femenia,DEF,4.3,WAT,,2.251426165,1.351613848
192733,Gibson,DEF,4.3,NOR,,1.688006897,1.126397664
225479,Giannoulis,DEF,4.5,NOR,,1.672914649,1.150249824
178201,Salisu,DEF,4.4,SOU,,1.297537333,2.123815742
278660,Samir,DEF,4.5,WAT,,2.336846711,1.02745389
192745,Aarons,DEF,4.2,NOR,,1.913423026,1.224892917
23472,Son,MID,10.5,TOT,,7.525630169,7.821701371
45106,Salah,MID,13.6,LIV,,7.307321865,7.681663541
23023,Zaha,MID,7.2,CRY,,7.796884941,5.006429406
278661,Coutinho,MID,6.5,AVL,,8.249681966,3.52842102
88492,Maddison,MID,7,LEI,,6.80509687,5.095214538
23126,Mane,MID,10.6,LIV,,6.283877693,6.755524195
256300,Cornet,MID,5.7,BUR,,6.511733934,4.917641447
184630,Gallagher,MID,6.2,CRY,,6.63227996,4.302447008
242870,A Gordon,MID,4.5,EVE,,7.015519966,3.335788363
23153,Sterling,MID,9.5,MCI,,6.018470992,6.542201909
131333,McGinn,MID,5.6,AVL,,7.268794986,2.941153412
23161,De Bruyne,MID,11.6,MCI,,5.830255935,6.303667656
106430,Saka,MID,7,ARS,,5.165731178,5.564718235
55898,Foden,MID,8.2,MCI,,5.487819703,5.893056847
187805,Raphinha,MID,7.5,LEE,,5.241238425,5.09087171
23492,Doucoure,MID,5.9,EVE,,6.944159764,3.363804863
110910,Tielemans,MID,6.4,LEI,,6.089188328,4.310082819
291491,Kulusevski,MID,6.9,TOT,,5.367351949,5.487568295
234800,D Gray,MID,5.6,EVE,,7.125377508,3.700537563
161009,Brownhill,MID,5.2,BUR,,5.846218335,3.885788275
182529,Havertz,MID,7.9,CHE,,5.681352551,6.013164033
139802,Mount,MID,7.2,CHE,,5.105454273,5.34974075
96761,McNeil,MID,5.7,BUR,,6.06870631,4.114219534
45039,H Barnes,MID,7.2,LEI,,6.639035699,5.216660649
137792,Douglas Luiz,MID,5,AVL,,6.473645387,2.81391258
186002,J Ramsey,MID,4.7,AVL,,4.997293223,2.730778565
88567,Jota,MID,7.9,LIV,,5.925301325,5.986397688
186746,Lookman,MID,6,LEI,,5.385952266,4.220449406
242878,Dewsbury-Hall,MID,4.5,LEI,,4.544437314,3.062141698
23326,Iwobi,MID,5.5,EVE,,6.634752684,3.397205686
23464,Cork,MID,4.5,BUR,,4.635804652,3.253217845
192214,Mbeumo,MID,6,BRE,,4.375076999,5.082904684
283021,Diaz,MID,5.7,LIV,,5.000711339,5.29948906
283053,Eriksen,MID,5.8,BRE,,4.232744424,4.837135656
45081,B Silva,MID,7.3,MCI,,4.626577801,4.846556051
132424,Trossard,MID,6.6,BHA,,4.576268774,4.826948287
161049,Bowen,MID,6.9,WHU,,4.170713141,4.748267713
192735,Buendia,MID,6.3,AVL,,6.94423509,3.1455601
201990,Odegaard,MID,6.3,ARS,,4.537865439,4.826344123
24092,Hojbjerg,MID,5.1,TOT,,4.169550059,4.191513528
182530,Allan,MID,4.4,EVE,,4.634396208,2.182880557
180321,Eze,MID,6,CRY,,5.428837547,3.80341236
230249,Olise,MID,5.4,CRY,,4.495122701,3.004708398
23404,Ward-Prowse,MID,6.9,SOU,,3.829661792,4.194399476
23103,Schlupp,MID,5.6,CRY,,5.213620041,3.544020566
132974,Rodri,MID,5,MCI,,3.697043951,3.728480581
283020,Guimaraes,MID,5.3,NEW,,3.832777522,3.962266277
140008,Martinelli,MID,5.5,ARS,,4.421961038,4.688926624
139204,Saint-Maximin,MID,6.8,NEW,,4.124337802,4.192272887
23109,Mahrez,MID,8.7,MCI,,5.535338691,5.9645972
163914,Mac Allister,MID,5.6,BHA,,3.986756317,4.21002357
23121,J Henderson,MID,5.1,LIV,,3.610724648,3.79210302
176658,Harrison,MID,6.1,LEE,,4.190016359,4.171485563
23337,Xhaka,MID,4.9,ARS,,3.605125223,3.797207147
132425,Fornals,MID,6.1,WHU,,3.646391678,4.086734886
291492,Bentancur,MID,5,TOT,,3.440541846,3.427069412
184638,Thiago,MID,5.5,LIV,,3.934719585,4.159694954
203010,Caicedo,MID,4.5,BHA,,3.255225475,3.259539267
88518,Keita,MID,5.1,LIV,,3.296186215,3.430442657
197966,Smith Rowe,MID,6.4,ARS,,4.585552344,4.860163289
257179,Cucurella,MID,4.5,BHA,,3.17629383,3.378543627
23160,Gundogan,MID,7.4,MCI,,4.650908887,4.838161311
28842,Sissoko,MID,4.5,WAT,,3.60389962,2.906454683
132434,Pulisic,MID,7.7,CHE,,5.068459496,5.325228459
160701,Fernandes,MID,11.3,MUN,,0,4.72833883
225295,Rashica,MID,5.4,NOR,,3.789190848,3.693746245
139207,Neto,MID,5.9,WOL,,5.032242961,3.245724509
255775,Lennon,MID,5,BUR,,4.702968143,3.399082322
192201,Norgaard,MID,4.5,BRE,,2.899181876,3.221156064
176648,K Phillips,MID,5,LEE,,3.296810154,3.166131369
192730,Dowell,MID,5,NOR,,3.671740144,3.58744426
23310,Fernandinho,MID,5,MCI,,1.818805959,2.841028766
88466,Neves,MID,6.1,WOL,,4.415130792,2.99562907
91130,Moutinho,MID,5.7,WOL,,3.931961492,2.83141013
282728,Kalu,MID,5.5,WAT,,4.11993793,3.146560726
131338,Grealish,MID,7.4,MCI,,4.428989756,4.687320033
225311,Sema,MID,5.4,WAT,,3.896967575,3.06534974
92413,Dendoncker,MID,5,WOL,,3.344679506,2.210302344
32973,Rice,MID,5.1,WHU,,2.913871396,3.181675182
23353,Gosling,MID,4.5,WAT,,3.148155036,2.348910859
160700,Soucek,MID,6,WHU,,3.398314656,3.786132987
144450,Gilmour,MID,4.5,NOR,,2.935753445,2.843671613
23102,Kante,MID,5.1,CHE,,1.513061032,3.148538434
45036,W Hughes,MID,4.5,CRY,,2.541209701,1.269179428
230256,Lees-Melou,MID,5,NOR,,3.346126645,3.276855382
176655,Klich,MID,5.3,LEE,,3.655192862,3.530842607
110898,Almiron,MID,5.5,NEW,,3.751121166,3.832444141
176631,Ziyech,MID,6.9,CHE,,3.69391965,3.761610003
92389,Kovacic,MID,5.1,CHE,,1.927500783,2.675913301
88507,S Armstrong,MID,5.7,SOU,,3.38407485,3.740554285
90433,Bissouma,MID,4.5,BHA,,2.568445695,2.74072834
77665,Lucas Moura,MID,6.3,TOT,,4.609878876,4.671733302
23394,Loftus-Cheek,MID,5.5,CHE,,3.313992706,3.294406836
88639,Jorginho,MID,5.5,CHE,,2.322961228,3.479589182
23226,Redmond,MID,6,SOU,,3.491280703,3.863484988
278691,Kayembe,MID,4.5,WAT,,2.806074146,2.390957642
45084,Gross,MID,5.7,BHA,,3.96766966,4.148754908
192211,Janelt,MID,5,BRE,,3.253713328,3.536184883
242910,Elyounoussi,MID,5.3,SOU,,3.244403948,3.57492257
183359,Elneny,MID,4.5,ARS,,2.573766404,1.941504485
192212,Canos,MID,5.3,BRE,,3.341700072,3.88132478
242911,Wissa,MID,5.5,BRE,,3.785084483,4.249172801
23539,Lanzini,MID,5.5,WHU,,3.243051924,3.455245145
219749,Elanga,MID,4.5,MUN,,0,2.963364833
183010,Fraser,MID,5.8,NEW,,3.752660964,3.970405802
40951,McTominay,MID,5.5,MUN,,0,3.470429873
88532,Fred,MID,5.1,MUN,,0,3.462561075
23236,Romeu,MID,4.5,SOU,,2.371615329,2.544614518
95817,S Longstaff,MID,5,NEW,,2.012068097,2.062808949
185623,Murphy,MID,5,NEW,,1.98339465,2.051642124
94552,N Mendy,MID,4.5,LEI,,1.502122485,1.187470838
181309,van de Beek,MID,5.8,EVE,,6.478636017,3.603006191
23099,Albrighton,MID,5.5,LEI,,4.295286805,3.142377587
23194,Rashford,MID,7.9,MUN,,0,3.746003092
293578,Chiquinho,MID,5,WOL,,2.224758159,1.19303508
69539,Hudson-Odoi,MID,5.5,CHE,,1.893406975,3.316875631
226791,Trincao,MID,5.8,WOL,,4.244253674,2.993955339
241953,Elliott,MID,5.5,LIV,,3.625576391,3.743366378
184926,Tella,MID,5,SOU,,2.598937397,2.802209126
233400,Lokonga,MID,5,ARS,,3.391908198,3.564264556
138600,Nakamba,MID,4.5,AVL,,1.134143443,0.513970901
45069,Perez,MID,6,LEI,,4.225175648,3.306420954
192736,Rupp,MID,4.5,NOR,,1.791503843,1.749002008
154682,C Jones,MID,4.6,LIV,,0.770650648,0.580155896
280768,Bate,MID,4.5,LEE,,1.164782078,1.136348586
138306,Pepe,MID,7.4,ARS,,5.184403821,5.55307533
189709,Benrahma,MID,5.8,WHU,,3.433452387,3.866825731
23482,Alli,MID,6.1,EVE,,6.53767398,3.392468235
23117,Milner,MID,5,LIV,,1.431743505,1.332549683
23276,Noble,MID,4.5,WHU,,1.344885341,1.417727308
184648,B Traore,MID,5.9,AVL,,6.951975302,2.965306217
202398,Sanson,MID,5,AVL,,4.789077918,2.763500687
23028,McArthur,MID,4.5,CRY,,0.094089338,0.807426931
257277,Saul,MID,6,CHE,,3.320643439,3.310547721
240547,Bailey,MID,6.4,AVL,,6.816259786,3.136969766
23192,Lingard,MID,6.4,MUN,,0,3.583778586
23008,Matic,MID,5,MUN,,0,2.938860797
88550,Fabinho,MID,5.4,LIV,,3.610724648,3.732281977
23058,Barkley,MID,5.5,CHE,,1.639352263,3.145776558
226985,Mwepu,MID,5.5,BHA,,3.255225475,3.288037711
25871,Winks,MID,4.5,TOT,,0.668562795,0.670075418
