ID,Name,Pos,Price,Team,Pts,31,32,33,34,35,36,37,38
88550,Fabinho,MID,5.4,LIV,,4.06063436,3.227508029,3.735203201,3.928481587,3.655958562,6.175160285,3.594781734,3.869769552
192735,Buendia,MID,6.4,AVL,,3.934576343,4.066657249,0,6.390211877,4.679684229,6.03164702,4.254968913,3.396020605
45042,Shelvey,MID,6,NEW,,3.318964888,3.828140297,6.45356991,3.792302558,3.396988476,3.052633378,3.593863627,3.562010424
23192,Lingard,MID,6.4,MUN,,3.822553178,3.581969096,5.927297813,3.351340535,3.873322258,3.44985878,3.462857412,3.500007543
257277,Saul,MID,6,CHE,,3.749335698,3.450211469,3.592159462,3.683066555,3.513753048,5.509839224,5.375031306,3.830741502
184648,B Traore,MID,5.9,AVL,,3.780172616,3.895082979,0,6.770860057,4.461916878,6.400027617,4.084393977,3.251933406
40951,McTominay,MID,5.5,MUN,,3.755216888,3.51207243,6.127522727,3.278618408,3.807820815,3.380365697,3.397993433,3.429852383
225295,Rashica,MID,5.4,NOR,,3.477981983,3.987334834,3.43969679,3.918343455,3.485802299,6.390118703,3.551996516,3.636451855
160697,Bergwijn,MID,5.9,TOT,,4.064797849,3.551519963,3.755775148,3.54487197,3.766255822,5.220702888,3.870730754,3.73412173
241953,Elliott,MID,5.5,LIV,,4.037941176,3.223530227,3.723919639,3.913328651,3.649312514,5.642588473,3.592715338,3.847104546
283053,Eriksen,MID,5.5,BRE,,3.377846491,4.120787018,4.031792073,3.927934835,3.670107037,4.171521204,3.896934217,4.383763204
23448,Fabianski,GK,5.1,WHU,,4.03737877,3.829970295,4.158073722,3.543981125,3.756100936,6.918210243,0,3.798783569
180322,T Silva,DEF,5.4,CHE,,3.853315488,3.106030254,3.279228565,3.498966087,3.371078387,5.916358733,5.218060647,3.821499591
176641,B White,DEF,5,ARS,,3.250032219,3.767508887,5.109242884,3.084584162,2.919497147,5.64624279,3.378666568,3.952148549
206669,Moder,MID,5,BHA,,4.002062691,3.293616113,5.141438843,3.671892609,3.430024333,3.550808806,3.490178661,3.639901196
69539,Hudson-Odoi,MID,5.5,CHE,,3.63122955,3.394591738,3.496198986,3.620377647,3.463489562,5.198798898,5.067663085,3.826241002
242911,Wissa,MID,5.4,BRE,,3.334663426,4.04264603,3.952881942,3.86132329,3.612183763,4.090488252,3.824692495,4.291871078
192202,Dasilva,MID,5.5,BRE,,3.334663426,4.04264603,3.952881942,3.86132329,3.612183763,4.090488252,3.824692495,4.291871078
272775,Sarmiento,MID,5.5,BHA,,3.987435269,3.281578042,5.122647034,3.658471948,3.417487695,3.537830704,3.47742216,3.626597463
192199,Fosu,MID,5.5,BRE,,3.332225807,4.03969088,3.949992408,3.858500686,3.609543278,4.087498129,3.821896667,4.288733745
23394,Loftus-Cheek,MID,5.5,CHE,,3.667652667,3.359513505,3.461198413,3.577859793,3.426663159,5.2397523,5.106969254,3.770700273
92389,Kovacic,MID,5.1,CHE,,3.63122955,3.316931872,3.422130609,3.539890213,3.385407559,5.424362817,5.282873693,3.734385851
139797,Maupay,FWD,5.7,BHA,,4.103952995,3.19323308,5.153035821,3.654760234,3.219350698,3.557136093,3.491561291,3.61367887
23058,Barkley,MID,5.5,CHE,,3.628044261,3.314022282,3.41912874,3.536785046,3.382437903,5.419604604,5.278239593,3.731110074
257177,Vlasic,MID,5.9,WHU,,4.227122433,3.906078765,4.203725943,3.468109929,3.909930847,5.791917382,0,3.718780006
226985,Mwepu,MID,5.5,BHA,,4.043756417,3.305530964,4.769675793,3.695616317,3.443136828,3.575169749,3.524907871,3.662290885
23127,Lallana,MID,5.5,BHA,,4.002062691,3.284044821,4.743096811,3.643501096,3.406298792,3.527767764,3.475135872,3.612147022
132426,D James,MID,6,LEE,,4.420468128,4.217313372,0,3.897973064,3.580886093,6.491296403,4.241460957,4.018893361
225321,Dennis,FWD,5.3,WAT,,3.034531432,4.051281321,3.838124272,2.854732521,3.874300539,3.316344208,6.757844336,2.933724645
23539,Lanzini,MID,5.6,WHU,,3.976620353,3.778572131,4.086183039,3.351148381,3.794466796,6.133245616,0,3.599106547
192208,Raya,GK,4.6,BRE,,3.594420117,3.81447788,3.773770834,3.576125651,3.509233029,3.866418133,3.731648953,3.952268946
257179,Cucurella,MID,4.5,BHA,,3.699076655,3.090548089,5.520830991,3.465221237,3.252194811,3.347131971,3.264704271,3.437181556
23044,Stones,DEF,5.8,MCI,,4.302594099,2.907700164,3.692314956,3.73742543,3.188182873,4.816345187,3.357390162,3.474757248
24092,Hojbjerg,MID,5.1,TOT,,3.791083781,3.289037712,3.513195302,3.287325791,3.492612707,5.317140439,3.601664217,3.459129995
84632,Willock,MID,5.4,NEW,,3.303845422,3.603980439,5.705501786,3.573101966,3.114856532,2.75006067,3.300217206,3.303911859
110898,Almiron,MID,5.5,NEW,,3.310307369,3.61559474,5.397920175,3.613769085,3.180010888,2.831997841,3.364197865,3.367322972
231959,Sa,GK,5,WOL,,3.994451559,3.867830038,0,3.996434998,4.17847925,3.738937689,7.555507067,3.759995743
45008,Dunk,DEF,5,BHA,,4.510968101,2.687806837,4.038591872,3.731729539,3.521206305,3.206392869,3.20870436,3.638499613
147612,Alzate,MID,5,BHA,,3.642435724,3.077823739,5.189104517,3.428147421,3.229906285,3.317102786,3.241292278,3.401805753
164449,Joao Pedro,FWD,5.4,WAT,,3.074551347,3.911695902,3.736664555,2.926884002,3.766425417,3.306592351,5.950126959,2.992022169
45068,Taylor,DEF,4.4,BUR,,4.543202797,2.915118088,4.579347076,4.988346369,2.548346456,2.744944739,1.66851171,3.092332398
88473,Guaita,GK,4.6,CRY,,2.762597986,3.104333458,3.538225893,3.743066776,3.418807352,6.75112845,3.387797238,3.427735835
242879,A Armstrong,FWD,6.1,SOU,,3.597914358,2.500394158,5.444411254,3.273218711,3.646422926,3.45047545,3.349790619,3.463085673
132974,Rodri,MID,5,MCI,,3.494493227,3.116407189,3.405502194,3.610683909,3.273521115,5.853160324,3.211141742,3.406598501
137792,Douglas Luiz,MID,5,AVL,,3.475271256,3.54287272,0,6.226026086,3.999626161,5.920123478,3.710196294,3.006213881
