ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,37,38,xPts if play,37,38,Probability to play,37,38,xPts,37,38,npG,37,38
656,Pitaluga,GK,4,LIV,0.006684612,4.001421454,3.721288142,,0.065789474,0.065789474,,2.356607309,2.723698099,,0.001315789,0.001315789,,0.003100799,0.003583813,,4.88155E-05,5.27553E-05
619,Cox,GK,4,BRE,0.006540804,4.001277646,3.721180942,,0.092105263,0.092105263,,2.446045138,2.524965972,,0.001315789,0.001315789,,0.00321848,0.003322324,,3.99882E-05,5.68711E-05
223,Adrian,GK,4.3,LIV,0.001748281,4.000695649,3.720638358,,0.018421053,0.018421053,,3.088428803,3.555037517,,0.000263158,0.000263158,,0.000812744,0.000935536,,5.15955E-05,5.57596E-05
616,Tyrer,GK,4,EVE,0.001909445,4.000626057,3.720625063,,0.031578947,0.015789474,,3.635132854,2.026981947,,0.000378536,0.000263158,,0.001376029,0.000533416,,0.00013768,4.52784E-05
615,Slicker,GK,4,MCI,0.001514782,4.00046215,3.720425236,,0.015789474,0.015789474,,2.754217021,3.00195313,,0.000263158,0.000263158,,0.000724794,0.000789988,,5.32494E-05,6.0989E-05
514,Gillespie,GK,3.9,NEW,0.001411269,4.000358637,3.720331347,,0.018421053,0.018421053,,2.622076366,2.740744642,,0.000263158,0.000263158,,0.00069002,0.000721249,,6.98772E-05,7.76179E-05
0,D Martin,GK,4,WHU,0.001232632,4.00018,3.720157002,,0.018421053,0.018421053,,2.059775062,2.624225709,,0.000263158,0.000263158,,0.000542046,0.000690586,,3.58505E-05,4.53826E-05
642,Angelini,GK,4,WAT,0.000905657,3.999853025,3.71987417,,0.015789474,0.015789474,,2.015434553,1.426061715,,0.000263158,0.000263158,,0.000530378,0.000375279,,6.46149E-05,3.25627E-05
574,Elliot,GK,4,WAT,0.010178729,3.999652413,3.719788158,,0.184210526,0.184210526,,2.236367007,1.631549974,,0.002631579,0.002631579,,0.005885176,0.004293553,,5.25719E-05,2.64936E-05
313,McGovern,GK,3.9,NOR,0.010103392,3.999577076,3.719695496,,0.184210526,0.184210526,,2.16071405,1.678574843,,0.002631579,0.002631579,,0.00568609,0.004417302,,3.68108E-05,3.82146E-05
0,Sarkic,GK,4,WOL,0.009803295,3.999276979,3.719321463,,0.065789474,0.065789474,,1.845993839,1.879258301,,0.002631579,0.002631579,,0.004857879,0.004945417,,1.05027E-05,3.9514E-06
659,Austin,GK,4,TOT,0.009136309,3.998609993,3.718712244,,0.065789474,0.065789474,,1.749335911,1.722461398,,0.002631579,0.002631579,,0.004603516,0.004532793,,3.24498E-05,3.49809E-05
666,McCracken,GK,4,NOR,0.009075613,3.998549297,3.718730412,,0.157894737,0.157894737,,1.940329518,1.50840334,,0.002631579,0.002631579,,0.00510613,0.003969482,,4.95961E-05,5.14875E-05
708,Waller,GK,4,BUR,0.011263082,3.997838598,3.717971598,,0.131578947,0.065789474,,1.703137162,1.638998052,,0.004080663,0.002631579,,0.006949929,0.004313153,,2.55775E-05,1.96935E-05
621,Storer,GK,4,WOL,0.00770292,3.997176604,3.717477362,,0.065789474,0.065789474,,1.743450621,1.183659087,,0.002631579,0.002631579,,0.004588028,0.003114892,,3.75425E-05,1.41245E-05
641,Caballero,GK,4.2,SOU,0.018212829,3.997160197,3.717209564,,0.368421053,0.368421053,,1.527434603,1.933002867,,0.005263158,0.005263158,,0.008039129,0.010173699,,3.52642E-05,4.56734E-05
637,H Lewis,GK,3.9,SOU,0.006453287,3.995926971,3.716180317,,0.065789474,0.065789474,,1.139900877,1.312348188,,0.002631579,0.002631579,,0.002999739,0.003453548,,2.03755E-05,2.63899E-05
237,Trent,DEF,8.4,LIV,11.91032834,12.04717044,11.12992261,,82.14285714,82.14285714,,5.619215466,6.71300461,,0.965789474,0.965789474,,5.426979147,6.483349189,,0.073484811,0.079415573
256,Cancelo,DEF,7.2,MCI,10.42272407,10.52798723,9.741380702,,84.54761905,84.54761905,,4.988000794,5.716418519,,0.973684211,0.973684211,,4.856737615,5.565986453,,0.087066881,0.099721756
168,Digne,DEF,5,AVL,10.05863286,10.12962426,9.893269807,,164.2857143,82.14285714,,8.449667097,1.677203033,,0.998714829,0.965789474,,8.43880783,1.619825035,,0.070869789,0.015392268
234,Robertson,DEF,7.3,LIV,9.308759473,9.729812105,8.958129599,,70.54761905,80.64285714,,4.633630625,5.70713,,0.842105263,0.947368421,,3.902004737,5.406754736,,0.048035421,0.053092054
44,Cash,DEF,5.3,AVL,9.470379215,9.524532319,9.313528118,,170.8571429,85.42857143,,8.021940722,1.493853211,,0.999239237,0.973684211,,8.01583793,1.454541284,,0.113153984,0.024576007
