ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38,npG,38
23,Gabriel,DEF,5.4,ARS,4.477041034,4.529672613,4.529672613,,85.42857143,,4.598042143,,0.973684211,,4.477041034,,0.090304476
224,Matip,DEF,5.2,LIV,4.093173192,4.514225824,4.514225824,,69.21428571,,5.184686044,,0.789473684,,4.093173192,,0.09003422
367,D Sanchez,DEF,4.2,TOT,4.153643706,4.232591074,4.232591074,,81.71428571,,4.324341392,,0.960526316,,4.153643706,,0.105699654
368,Sessegnon,DEF,4.3,TOT,4.121467005,4.226730163,4.226730163,,73.78571429,,4.350437394,,0.947368421,,4.121467005,,0.059849385
67,B White,DEF,4.6,ARS,4.050330741,4.10296232,4.10296232,,85.42857143,,4.15979914,,0.973684211,,4.050330741,,0.038649603
588,Emerson R,DEF,4.5,TOT,3.942051655,4.047314813,4.047314813,,77.21428571,,4.161054524,,0.947368421,,3.942051655,,0.07219414
252,Stones,DEF,5.2,MCI,3.420028496,3.946344286,3.946344286,,63.5,,4.641467245,,0.736842105,,3.420028496,,0.076755902
364,Ben T Davies,DEF,4.5,TOT,3.785712399,3.827817662,3.827817662,,84.98571429,,3.867125569,,0.978947368,,3.785712399,,0.059970472
361,Dier,DEF,4.6,TOT,3.757409476,3.799514739,3.799514739,,85.87142857,,3.83821398,,0.978947368,,3.757409476,,0.044785873
121,T Silva,DEF,5.6,CHE,2.937904389,3.622114916,3.622114916,,55.88095238,,4.465614672,,0.657894737,,2.937904389,,0.034542485
584,Cucurella,DEF,4.9,BHA,3.568635708,3.621267287,3.621267287,,84.54761905,,3.665085321,,0.973684211,,3.568635708,,0.02613981
585,C Roberts,DEF,4.4,BUR,3.46036932,3.528790373,3.528790373,,82.14285714,,3.58294371,,0.965789474,,3.46036932,,0.031900451
59,Dunk,DEF,4.8,BHA,3.459136576,3.511768155,3.511768155,,84.54761905,,3.552626753,,0.973684211,,3.459136576,,0.063063045
249,Walker,DEF,5.4,MCI,2.76189742,3.498739525,3.498739525,,54.92857143,,4.373004249,,0.631578947,,2.76189742,,0.016017199
98,Tarkowski,DEF,4.9,BUR,3.399252803,3.451884382,3.451884382,,85.42857143,,3.4911245,,0.973684211,,3.399252803,,0.059543775
113,Taylor,DEF,4.4,BUR,3.334036918,3.360352707,3.360352707,,85.64285714,,3.378490743,,0.986842105,,3.334036918,,0.006324155
466,Tavares,DEF,4.3,ARS,2.926642028,3.347694659,3.347694659,,53.5,,3.707079902,,0.789473684,,2.926642028,,0.082645453
5,Cedric,DEF,4.2,ARS,2.900840999,3.32189363,3.32189363,,60.64285714,,3.674398598,,0.789473684,,2.900840999,,0.029009553
527,T Chalobah,DEF,4.7,CHE,2.163018992,3.26828215,3.26828215,,39.92857143,,4.834983628,,0.447368421,,2.163018992,,0.069835887
451,Collins,DEF,4.3,BUR,2.97588281,3.186409126,3.186409126,,76.35714286,,3.32598667,,0.894736842,,2.97588281,,0.06962427
39,Targett,DEF,4.7,NEW,3.046216847,3.1146379,3.1146379,,83.89047619,,3.154120986,,0.965789474,,3.046216847,,0.018622137
555,Varane,DEF,5.5,MUN,3.010357036,3.078778088,3.078778088,,82.14285714,,3.116990936,,0.965789474,,3.010357036,,0.031759139
