Name,FFS 17,FFS 18,FFS 19,FFS 20,FFS 21,FFS 22,FFS 23,fbref,fbref ID,FPL code,FPL ID,FPL name,FPL pos,Team,FPL price,FT ID,FanTeam name,FT pos,FT price,DOB
Rodriguez,Rodriguez,,Rodriguez,Rodriguez,Rodriguez,,Rodriguez,Jay Rodriguez,4ab53cdb,44683,177,Rodriguez,FWD,Burnley,5.4,3584340,Rodriguez,FWD,5.5,32718
Amdouni,,,,,,,Amdouni,Zeki Amdouni,2ee5b0c9,492831,594,Amdouni,FWD,Burnley,5.5,3628161,Amdouni,FWD,6,36864
Foster,,,,,,,Foster,Lyle Foster,f84a807c,435973,168,Foster,FWD,Burnley,5,3584363,Foster,FWD,5,36772
Obafemi,,,,,,,Obafemi,Michael Obafemi,caa1a7f0,220598,174,Obafemi,FWD,Burnley,4.9,3584357,Obafemi,FWD,5,36713
Sanchez,,,,Sanchez,Sanchez,Sanchez (Robert),Sanchez (Robert),Robert S·nchez,6a713852,215059,145,Sanchez,GK,Chelsea,4.5,192988,Sanchez,GK,5,35752
Chilwell,Chilwell,Chilwell,Chilwell,Chilwell,Chilwell,Chilwell,Chilwell,Ben Chilwell,d2424d1b,172850,195,Chilwell,DEF,Chelsea,5.8,24083,Chilwell,DEF,5.5,35420
James,,,James (Reece),James (Reece),James (Reece),James (Reece),James (Reece),Reece James,1265a93a,225796,206,James,DEF,Chelsea,5.4,148332,James,DEF,5.5,36502
Cucurella,,,,,Cucurella,Cucurella,Cucurella,Marc Cucurella,1daec722,179268,198,Cucurella,DEF,Man United,4.9,257179,Cucurella,DEF,5,35998
T Silva,,,,Thiago Silva,Thiago Silva,Thiago Silva,Thiago Silva,Thiago Silva,86e7deaf,51090,217,T.Silva,DEF,Chelsea,5,180322,Silva,DEF,4.5,30947
Disasi,,,,,,,Disasi,Axel Disasi,ad82197c,220362,611,Disasi,DEF,Chelsea,5.1,3634178,Disasi,DEF,5,35865
Badiashile,,,,,,Badiashile,Badiashile,BenoÓt Badiashile,06df8256,242880,191,B.Badiashile,DEF,Chelsea,4.4,2840078,Badiashile,DEF,5,36976
Chalobah,,,,,Chalobah (Trevoh),Chalobah (Trevoh),Chalobah (Trevoh),Trevoh Chalobah,5515376c,180736,194,Chalobah,DEF,Chelsea,4.4,242981,Chalobah,DEF,4.5,36346
Colwill,,,,,,Colwill,Colwill,Levi Colwill,700783e7,460028,197,Colwill,DEF,Chelsea,4.5,2024700,Colwill,DEF,4.5,37678
Gusto,,,,,,,Gusto,Malo Gusto,d56b9520,482609,203,Gusto,DEF,Chelsea,4.1,3556528,Gusto,DEF,4.5,37760
Sterling,Sterling (Raheem),Sterling (Raheem),Sterling (Raheem),Sterling,Sterling (Raheem),Sterling (Raheem),Sterling (Raheem),Raheem Sterling,b400bde0,103955,216,Sterling,MID,Chelsea,7.1,23153,Sterling,MID,7.9,34676
Mudryk,,,,,,Mudryk,Mudryk,Mykhailo Mudryk,049a888d,465920,210,Mudryk,MID,Chelsea,6.4,2867399,Mudryk,MID,7,36896
Gallagher,,Gallagher,,Gallagher,Gallagher,Gallagher,Gallagher,Conor Gallagher,c2731c10,232787,202,Gallagher,MID,Chelsea,5.5,184630,Gallagher,MID,6,36562
Madueke,,,,,,Madueke,Madueke,Chukwunonso Madueke,bf34eebd,248857,208,Madueke,MID,Chelsea,5.4,2882403,Madueke,MID,6,37325
Maatsen,,,,,,,Maatsen,Ian Maatsen,cab9634e,441302,609,Maatsen,MID,Chelsea,5.3,3629422,Maatsen,DEF,4.5,37325
Fernandez,,,,,,Fern·ndez (Enzo),Fern·ndez (Enzo),Enzo Fern·ndez,5ff4ab71,448047,199,Enzo,MID,Chelsea,5,2930183,Fernandez,MID,5.4,36908
Chukwuemeka,,,,Chukwuemeka,Chukwuemeka (Carney),Chukwuemeka,Chukwuemeka,Carney Chukwuemeka,18c70acb,478912,196,Chukwuemeka,MID,Chelsea,4.5,221680,Chukwuemeka,MID,5,37914
Ugochukwu,,,,,,,Ugochukwu,Lesley Ugochukwu,1df4a109,503714,613,Lesley Ugochukwu,MID,Chelsea,4.5,3631216,Ugochukwu,MID,4.5,38072
Adams,,,,,,Adams (Tyler),Adams (Tyler),Tyler Adams,2b09d998,200785,673,Adams,MID,Bournemouth,5,1783669,Adams,MID,4.5,36205
