Name,FFS17,vaastav17,FFS18,vaastav18,FFS19,vaastav19,FFS20,vaastav20
Coquelin,Coquelin,Francis_Coquelin,,,,,Coquelin,
Cork,Cork,Jack_Cork,Cork,Jack_Cork_82,Cork,Jack_Cork_102,Cork,
D Costa,,Diego_Da Silva Costa,,,,,D Costa,
H Costa,,,HÈlder Costa,HÈlder_Costa_435,,H√©lder_Costa_418,HÈlder Costa,
Coufal,,,,,,,Coufal,
Courtois,Courtois,Thibaut_Courtois,,Thibaut_Courtois_111,,,Courtois,
Coutinho,Coutinho,Philippe_Coutinho,,,,,Coutinho,
Cranie,Cranie,Martin_Cranie,,,,,Cranie,
Cresswell,Cresswell,Aaron_Cresswell,Cresswell,Aaron_Cresswell_402,Cresswell,Aaron_Cresswell_376,Cresswell (Aaron),
Crouch,Crouch,Peter_Crouch,Crouch,Peter_Crouch_590,,,Crouch,
Cullen,Cullen,Josh_Cullen,,,,,Cullen,
Cunningham,,,Cunningham,Greg_Cunninghamm_467,,,Cunningham,
Cutrone,,,,,Cutrone,Patrick_Cutrone_487,Cutrone,
Dallas,,,,,,,Dallas,
Dalot,,,Diogo Dalot,JosÈ Diogo_Dalot Teixeira_294,Diogo Dalot,Jos√© Diogo_Dalot Teixeira_229,Diogo Dalot,
Daly,,James_Daly,Matty Daly,Matthew_Daly_606,,James_Daly_581,Matty Daly,
Damour,,,Damour,LoÔc_Damour_104,,,Damour,
Daniels,Daniels,Charlie_Daniels,Daniels,Charlie_Daniels_28,Daniels,Charlie_Daniels_60,Daniels,
Danilo,Danilo,Danilo Luiz_da Silva,Danilo,Danilo Luiz_da Silva_266,,Danilo Luiz_da Silva_209,Danilo,
Dann,Dann,Scott_Dann,Dann,Scott_Dann_139,Dann,Scott_Dann_127,Dann,
Danso,,,,,Danso,Kevin_Danso_532,Danso,
Darlow,Darlow,Karl_Darlow,,Karl_Darlow_308,,Karl_Darlow_263,Darlow,
Darmian,Darmian,Matteo_Darmian,Darmian,Matteo_Darmian_289,,Matteo_Darmian_230,Darmian,
B Davies,Davies (Ben),Ben_Davies,Davies (Ben),Ben_Davies_356,Davies (Ben),Ben_Davies_329,Davies (Ben),
C Davies,,,,,,,C Davies,
T Davies,Davies (Tom),Tom_Davies,Davies (Tom),Tom_Davies_169,Davies (Tom),Tom_Davies_154,Davies (Tom),
K Davis,,,,,Davis,Keinan_Davis_34,Davis (Keinan),
L Davis,,,,,,,Davis (Leif),
S Davis,Davis,Steven_Davis,Davis,Steven_Davis_337,,,Davis,
C Dawson,Dawson,Craig_Dawson,,,Dawson,Craig_Dawson_439,Dawson,
M Dawson,,,,,,,M Dawson,
De Bruyne,De Bruyne,Kevin_De Bruyne,De Bruyne,Kevin_De Bruyne_273,De Bruyne,Kevin_De Bruyne_215,De Bruyne,
de Gea,De Gea,David_de Gea,De Gea,David_De Gea_282,De Gea,David_de Gea_235,De Gea,
de Roon,,,,,,,de Roon,
Debuchy,,Mathieu_Debuchy,,,,,Debuchy,
Decordova-Reid,,,,,,,Decordova-Reid,
Deeney,Deeney,Troy_Deeney,Deeney,Troy_Deeney_396,Deeney,Troy_Deeney_362,Deeney,
Defoe,Defoe,Jermain_Defoe,Defoe,Jermain_Defoe_46,,,Defoe,
Defour,Defour,Steven_Defour,Defour,Steven_Defour_77,,Steven_Defour_99,Defour,
Delaney,Delaney,Damien_Delaney,,,,,Delaney,
Delap,,,,,,,Delap,
