ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38
23101,Amartey,DEF,4.1,LEI,1.094800953,2.147432532,2.147432532,,37.78571429,,2.311246456,,0.473684211,,1.094800953
92428,Soyuncu,DEF,4.4,LEI,0.445174818,2.129385344,2.129385344,,13.89473684,,2.819440515,,0.157894737,,0.445174818
176637,Cooper,DEF,4.5,LEE,2.072927843,2.125559422,2.125559422,,83.66666667,,2.128952919,,0.973684211,,2.072927843
24075,Holding,DEF,4.6,ARS,0.741652874,2.110073927,2.110073927,,14.21052632,,2.348567435,,0.315789474,,0.741652874
23376,Lowton,DEF,4.6,BUR,0.317879127,2.107352811,2.107352811,,8.842105263,,3.019851705,,0.105263158,,0.317879127
230254,Duffy,DEF,4.6,BHA,0.315772587,2.105246271,2.105246271,,8.421052632,,2.999839573,,0.105263158,,0.315772587
280703,Kenedy,DEF,5,CHE,0.312868079,2.102341763,2.102341763,,4.210526316,,2.972246746,,0.105263158,,0.312868079
23018,J Ward,DEF,4.3,CRY,0.615935606,2.089619816,2.089619816,,23.68421053,,2.340555302,,0.263157895,,0.615935606
67736,Johnson,DEF,4.3,WHU,1.015129993,2.067761572,2.067761572,,35.52631579,,2.143052207,,0.473684211,,1.015129993
176643,Struijk,DEF,4.1,LEE,1.74235233,2.058141804,2.058141804,,60.64285714,,2.069043392,,0.842105263,,1.74235233
23188,Shaw,DEF,5.4,MUN,0.264691596,2.05416528,2.05416528,,8.421052632,,2.514570158,,0.105263158,,0.264691596
134588,Pieters,DEF,4.6,BUR,0.259488557,2.048962242,2.048962242,,6.736842105,,2.465141296,,0.105263158,,0.259488557
23015,Tomkins,DEF,4.5,CRY,0.137018308,2.03175515,2.03175515,,4.210526316,,2.603347847,,0.052631579,,0.137018308
192204,Roerslev,DEF,4.4,BRE,1.133748181,2.028485023,2.028485023,,33.15789474,,2.051544328,,0.552631579,,1.133748181
