ID,xMins,xPts
109,63.21428571,3.292466037
110,85.42857143,3.236125034
111,49.78571429,2.349377282
112,84.07142857,4.152798388
113,51.5,1.942888725
114,0.184210526,0.007772375
115,75.16666667,2.416459545
116,0,0
117,0,0
118,81.02380952,3.051857532
119,81.71428571,5.156371354
120,0,0
121,25.78947368,1.423872296
122,46.35714286,3.327944496
123,36.83333333,1.85714455
124,2.368421053,0.141707792
125,60.07142857,2.42726938
126,0,0
127,82.58333333,4.897965995
128,20.52631579,1.130683415
129,6.631578947,0.337927004
130,63.5,2.453173406
131,3.157894737,0.239748548
132,2.368421053,0.124266234
133,30.21052632,1.562868967
134,73.02380952,4.480534467
135,53.5,3.438489203
136,14.21052632,0.980910523
137,68.26190476,4.16595348
138,46.35714286,2.865393231
139,3.947368421,0.196319148
140,53.78571429,2.795541277
141,69.54761905,4.374747865
142,31.57894737,2.169169089
143,83.21428571,4.561589736
144,35.52631579,1.00121529
145,61.83333333,1.891940114
146,86.30952381,2.750827302
147,55.88095238,1.236073201
148,39.5,1.1265548
149,76.5,2.634513922
150,62.16666667,1.305196608
151,3.157894737,0.079136023
152,68.26190476,2.15993047
153,73.02380952,2.207599479
154,82.78571429,2.90338091
155,67.78571429,2.125275509
156,3.315789474,0.105130528
157,14.73684211,0.558842772
158,12.63157895,0.261382426
159,25.26315789,0.964009165
160,0,0
161,0,0
162,80.16666667,1.728404027
163,4.736842105,0.232739388
164,0,0
165,42.35714286,1.943685038
166,53.5,3.056942362
167,0,0
168,83.66666667,4.352174778
169,74.73809524,3.371542543
170,87.80904762,3.972003036
171,73.5,2.302599028
172,41.5952381,1.558669974
173,78.92857143,3.074458288
174,42.07142857,1.821456035
175,64.45238095,2.947798765
176,22.73684211,0.837892437
177,18.42105263,0.970851648
178,46.35714286,1.965211335
179,70.54761905,2.864254946
180,73.5,3.621671168
181,0.921052632,0.039550628
182,0,0
183,0,0
184,62.16666667,1.367318672
185,85.87142857,1.961293496
